longitude,latitude,cluster_id
-121.457900,39.154500,7
-121.845700,39.606100,7
-121.861600,38.691900,7
-121.108800,37.611700,6
-115.350200,32.789400,5
-121.398900,37.675700,3
-121.784900,39.054400,7
-117.349800,33.932700,8
-122.791500,38.943100,9
-123.576300,39.276700,10
-121.108800,37.611700,6
-121.083500,41.091100,2
-117.269000,33.542800,5
-119.403500,36.822200,4
-121.204100,39.176300,7
-115.602300,32.770900,5
-121.323400,38.931500,1
-121.762500,39.354600,7
-120.116000,41.875300,2
-120.958000,37.196500,6
-115.562200,32.791900,5
-116.892200,33.640000,5
-118.062800,33.797200,8
-122.873700,41.453100,2
-122.266400,39.544800,7
-116.981200,33.258200,5
-121.869700,39.864200,7
-121.861600,38.691900,7
-119.503000,36.487700,4
-123.244100,39.131000,10
-118.877500,35.994400,4
-119.064300,35.348400,4
-121.757800,39.413500,7
-121.839700,39.743200,7
-121.869700,39.864200,7
-119.046700,35.156400,4
-121.431400,38.147100,1
-122.065300,39.256600,7
-122.161700,39.320000,7
-120.043100,37.022700,6
-121.810500,39.711100,7
-117.789900,33.690300,8
-119.381000,36.406600,4
-120.520600,37.129600,6
-122.017700,38.732400,9
-121.002800,36.178600,6
-121.397700,39.051000,7
-116.828100,33.050400,5
-122.441200,38.585100,9
-121.832100,37.282000,3
-119.632100,36.306100,4
-120.913300,39.085600,1
-121.649800,36.660300,6
-120.391400,34.806900,4
-119.211400,36.360700,4
-121.551700,38.307200,1
-119.184500,34.248000,8
-117.008300,33.541000,5
-118.461400,34.177800,8
-121.514600,38.613100,1
-123.244100,39.131000,10
-122.124500,38.225000,9
-117.269000,33.542800,5
-118.819300,34.196300,8
-122.504400,37.971900,9
-117.323000,33.970000,8
-122.465900,40.624700,2
-118.606400,34.420900,8
-121.952700,37.965500,3
-121.121900,37.757300,6
-117.788400,33.851200,8
-122.753500,38.502800,9
-122.124500,38.225000,9
-117.565900,33.875400,8
-119.673300,36.754100,4
-122.382600,37.730800,3
-119.888900,36.804400,4
-117.705900,33.478000,8
-121.810500,39.711100,7
-119.381300,36.294700,4
-122.640300,38.452500,9
-122.128500,37.709100,3
-119.870100,36.976800,4
-116.876500,32.842800,5
-121.279700,38.763400,1
-118.240300,34.029800,8
-121.869700,39.864200,7
-120.788500,38.750600,1
-118.151300,34.029400,8
-122.278000,40.662000,2
-117.013700,34.044900,5
-122.094400,37.294300,3
-121.037100,39.002000,1
-117.047100,32.679900,5
-121.074800,38.920000,1
-121.869700,39.864200,7
-121.121900,37.757300,6
-121.627000,37.168100,3
-121.724000,36.942800,3
-121.457900,39.154500,7
-122.559600,38.222400,9
-119.503000,36.487700,4
-119.888900,36.804400,4
-117.349800,33.932700,8
-117.821200,33.737600,8
-119.577600,36.928800,4
-121.981100,37.170700,3
-118.255100,34.120600,8
-122.010400,38.415700,9
-117.008300,33.541000,5
-121.384300,38.627800,1
-120.860700,37.477900,6
-122.278000,40.662000,2
-117.998300,33.795200,8
-121.145000,38.664500,1
-122.035800,38.004700,3
-122.781400,38.453400,9
-117.075300,32.994200,5
-118.291600,34.171500,8
-122.751100,38.391700,9
-119.718500,36.605700,4
-118.877500,35.994400,4
-120.365200,35.156000,4
-117.257900,34.078600,8
-122.862300,38.430500,9
-121.861600,38.691900,7
-119.183100,34.209100,8
-122.411100,37.473000,3
-122.007100,37.072200,3
-121.033300,37.815600,6
-121.807700,37.303200,3
-120.860700,37.477900,6
-120.260200,37.996000,1
